Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
274    Stephane Lasme       MIA      3.08       2.31       5.39      
275    Blake Ahearn         MIA      4.04       2.95       6.99      
276    Robert Hite          MIA      5.50       6.03       11.53     
277    Wayne Simien         MIA      2.20       2.36       4.56      
278    Charlie Bell         MIL      14.10      9.45       23.55     
279    Mo Williams          MIL      13.08      9.87       22.96     
280    Andrew Bogut         MIL      4.30       3.67       7.97      
281    Michael Redd         MIL      16.81      13.25      30.05     
282    Desmond Mason        MIL      8.07       16.31      24.37     
283    Charlie Villanueva   MIL      21.00      12.04      33.04     
284    Dan Gadzuric         MIL      14.41      10.86      25.27     
285    Bobby Simmons        MIL      9.42       10.90      20.32     
286    Yi Jianlian          MIL      4.20       3.66       7.85      
287    Ersan Ilyasova       MIL      12.55      11.48      24.03     
288    Michael Ruffin       MIL      12.39      8.61       21.00     
289    David Noel           MIL      12.68      8.53       21.21     
290    Lynn Greer           MIL      16.09      5.63       21.72     
291    Ramon Sessions       MIL      11.25      11.12      22.37     
292    Jared Reiner         MIL      7.69       6.70       14.39     
293    Awvee Storey         MIL      7.01       4.45       11.46     
294    Damir Markota        MIL      6.54       8.10       14.64     
295    Al Jefferson         MIN      3.92       3.28       7.20      
296    Marko Jaric          MIN      13.82      12.93      26.75     
297    Craig Smith          MIN      9.12       8.03       17.15     
298    Mark Blount          MIN      17.92      15.42      33.34     
299    Antoine Walker       MIN      5.72       4.59       10.31     
300    Randy Foye           MIN      13.44      10.28      23.72     
301    Rashad McCants       MIN      19.40      20.33      39.73     
302    Gerald Green         MIN      12.40      8.95       21.35     
303    Corey Brewer         MIN      10.14      8.30       18.45     
304    Michael Doleac       MIN      14.55      13.99      28.53     
305    Mark Madsen          MIN      9.46       6.45       15.91     
306    Chris Richard        MIN      6.53       5.22       11.75     
307    Justin Reed          MIN      7.42       9.45       16.88     
308    Bracey Wright        MIN      2.49       2.60       5.09      
309    Eddie Griffin        MIN      4.95       4.57       9.53      
310    Vince Carter         NJN      0.00       3.31       3.31      
311    Jason Kidd           NJN      3.30       16.66      19.96     
312    Richard Jefferson    NJN      0.00       10.58      10.58     
313    Mikki Moore          NJN      5.48       12.93      18.41     
314    Bostjan Nachbar      NJN      0.00       4.90       4.90      
315    Trenton Hassell      NJN      4.51       5.80       10.31     
316    Jason Collins        NJN      1.26       13.20      14.46     
317    Marcus Williams      NJN      0.07       12.84      12.91     
318    Josh Boone           NJN      0.00       14.70      14.70     
319    Jamaal Magloire      NJN      9.10       10.74      19.84     
320    Stromile Swift       NJN      4.99       7.04       12.03     
321    Darrell Armstrong    NJN      5.33       6.04       11.36     
322    Malik Allen          NJN      6.35       11.93      18.28     
323    Nenad Krstic         NJN      0.00       11.99      11.99     
324    Sean Williams        NJN      0.00       7.83       7.83      
325    Clifford Robinson    NJN      0.00       8.33       8.33      
326    Hassan Adams         NJN      0.00       14.04      14.04     
327    Maurice Ager         NJN      3.52       10.37      13.89     
328    Eddie Gill           NJN      0.00       6.08       6.08      
329    Billy Thomas         NJN      2.07       6.17       8.23      
330    Mile Ilic            NJN      0.00       0.00       0.00      
331    Chris Paul           NOH      0.00       10.01      10.01     
332    Tyson Chandler       NOH      0.00       3.90       3.90      
333    David West           NOH      0.00       13.83      13.83     
334    Jannero Pargo        NOH      0.00       14.07      14.07     
335    Rasual Butler        NOH      0.00       8.49       8.49      
336    Morris Peterson      NOH      6.80       16.34      23.14     
337    Peja Stojakovic      NOH      0.00       12.04      12.04     
338    Hilton Armstrong     NOH      0.00       14.60      14.60     
339    Melvin Ely           NOH      0.56       11.75      12.31     
340    Ryan Bowen           NOH      0.00       6.26       6.26      
341    Julian Wright        NOH      0.00       11.59      11.59     
342    Marcus Vinicius      NOH      0.00       8.84       8.84      
343    Linton Johnson       NOK      1.36       9.75       11.11     
344    Marc Jackson         NOK      0.00       10.29      10.29     
345    Jamal Crawford       NYK      14.54      11.75      26.29     
346    Zach Randolph        NYK      3.90       3.19       7.10      
347    David Lee            NYK      6.81       5.84       12.65     
348    Eddy Curry           NYK      11.04      8.37       19.41     
349    Nate Robinson        NYK      12.24      11.16      23.40     
350    Stephon Marbury      NYK      9.27       6.86       16.13     
351    Fred Jones           NYK      11.74      11.32      23.06     
352    Quentin Richardson   NYK      15.05      16.80      31.86     
353    Jared Jeffries       NYK      13.17      15.96      29.13     
354    Renaldo Balkman      NYK      8.21       8.72       16.93     
355    Malik Rose           NYK      8.30       12.45      20.75     
356    Mardy Collins        NYK      12.51      15.01      27.52     
357    Wilson Chandler      NYK      8.02       10.03      18.05     
358    Jerome James         NYK      11.69      10.24      21.93     
359    Randolph Morris      NYK      7.30       8.69       15.99     
360    Kelvin Cato          NYK      8.15       6.79       14.94     
361    Dwight Howard        ORL      10.71      9.12       19.83     
362    Rashard Lewis        ORL      3.07       7.28       10.34     
363    Hedo Turkoglu        ORL      14.27      15.47      29.74     
364    Jameer Nelson        ORL      18.92      13.79      32.71     
365    Keith Bogans         ORL      13.75      11.08      24.83     
366    Keyon Dooling        ORL      9.63       9.42       19.06     
367    Carlos Arroyo        ORL      8.54       7.58       16.13     
368    Brian Cook           ORL      10.71      7.44       18.16     
369    Adonal Foyle         ORL      3.15       3.02       6.17      
370    Tony Battie          ORL      9.66       6.69       16.35     
371    J.J. Redick          ORL      13.00      13.95      26.95     
372    Pat Garrity          ORL      10.62      4.78       15.40     
373    Bo Outlaw            ORL      3.12       2.40       5.52      
374    James Augustine      ORL      12.91      4.45       17.36     
375    Marcin Gortat        ORL      15.58      5.00       20.58     
376    Andre Iguodala       PHI      9.66       8.94       18.60     
377    Andre Miller         PHI      9.59       10.42      20.01     
378    Samuel Dalembert     PHI      13.28      11.07      24.36     
379    Willie Green         PHI      4.05       3.24       7.29      
380    Joe Smith            PHI      14.91      11.64      26.55     
381    Reggie Evans         PHI      12.91      10.73      23.64     
382    Lou Williams         PHI      11.29      13.71      25.01     
383    Rodney Carney        PHI      14.50      11.85      26.35     
384    Thaddeus Young       PHI      8.04       6.41       14.46     
385    Jason Smith          PHI      13.63      8.47       22.10     
386    Kevin Ollie          PHI      11.42      13.26      24.68     
387    Calvin Booth         PHI      8.59       6.94       15.53     
388    Alan Henderson       PHI      2.48       3.12       5.60      
389    Shavlik Randolph     PHI      9.77       9.70       19.47     
390    Lou Amundson         PHI      8.97       9.71       18.68     
391    Ivan McFarlin        PHI      1.58       12.57      14.15     
392    Steven Smith         PHI      4.14       1.17       5.31      
393    Leandro Barbosa      PHO      17.51      15.15      32.66     
394    Raja Bell            PHO      12.41      10.61      23.02     
395    Steve Nash           PHO      4.69       4.20       8.89      
396    Amar'e Stoudemire    PHO      6.49       4.08       10.57     
397    Boris Diaw           PHO      9.87       6.82       16.68     
398    Grant Hill           PHO      11.67      13.01      24.68     
399    Gordan Giricek       PHO      18.26      12.27      30.53     
400    Brian Skinner        PHO      11.12      9.78       20.90     
401    Jalen Rose           PHO      9.60       8.27       17.87     
402    D.J. Strawberry      PHO      11.81      5.01       16.82     
403    Eric Piatkowski      PHO      11.04      10.27      21.31     
404    Pat Burke            PHO      9.58       13.08      22.65     
405    Jumaine Jones        PHO      19.12      8.67       27.79     
406    Sean Marks           PHO      7.52       4.50       12.02     
407    Alando Tucker        PHO      4.25       1.00       5.25      
408    Jarrett Jack         POR      13.14      11.66      24.79     
409    Steve Blake          POR      7.44       8.69       16.14     
410    Brandon Roy          POR      3.90       3.23       7.13      
411    Travis Outlaw        POR      5.83       5.08       10.91     
412    LaMarcus Aldridge    POR      14.35      15.46      29.81     
413    Martell Webster      POR      12.39      14.78      27.17     
414    Channing Frye        POR      7.36       5.50       12.86     
415    Juan Dixon           POR      14.88      13.00      27.88     
416    James Jones          POR      9.48       11.28      20.75     
417    Joel Przybilla       POR      24.51      17.27      41.79     
418    Sergio Rodriguez     POR      8.02       9.68       17.71     
419    Dan Dickau           POR      17.35      11.17      28.52     
420    Raef LaFrentz        POR      15.18      11.17      26.35     
421    Stephen Graham       POR      8.26       8.93       17.19     
422    Luke Schenscher      POR      10.05      8.48       18.53     
423    Taurean Green        POR      6.20       5.21       11.41     
424    Josh McRoberts       POR      12.00      12.00      24.00     
425    John Salmons         SAC      13.58      11.39      24.97     
426    Kevin Martin         SAC      14.71      14.10      28.81     
427    Metta World Peace    SAC      10.64      7.61       18.25     
428    Francisco Garcia     SAC      10.53      9.48       20.02     
429    Mike Bibby           SAC      9.42       7.80       17.21     
430    Brad Miller          SAC      6.73       5.94       12.67     
431    Beno Udrih           SAC      3.10       2.82       5.92      
432    Anthony Johnson      SAC      7.89       5.56       13.44     
433    Dahntay Jones        SAC      12.24      7.85       20.09     
434    Shareef Abdur-Rahim  SAC      2.55       1.79       4.33      
435    Kenny Thomas         SAC      15.50      10.34      25.84     
436    Corliss Williamson   SAC      4.62       3.42       8.04      
437    Quincy Douby         SAC      7.48       7.47       14.95     
438    Ronnie Price         SAC      5.75       3.53       9.28      
439    Spencer Hawes        SAC      2.76       2.72       5.48      
440    Justin Williams      SAC      12.90      12.94      25.84     
441    Maurice Taylor       SAC      8.11       10.75      18.86     
442    Darryl Watkins       SAC      2.00       4.65       6.65      
443    Vitaly Potapenko     SAC      6.00       3.33       9.33      
444    Tim Duncan           SAS      7.21       6.02       13.23     
445    Bruce Bowen          SAS      9.75       8.75       18.51     
446    Manu Ginobili        SAS      16.01      12.91      28.92     
447    Tony Parker          SAS      3.87       3.07       6.94      
448    Michael Finley       SAS      14.17      11.32      25.49     
449    Ime Udoka            SAS      13.48      9.74       23.22     
450    Fabricio Oberto      SAS      13.21      10.63      23.84     
451    Kurt Thomas          SAS      11.55      16.77      28.32     
452    Brent Barry          SAS      6.25       5.31       11.57     
453    Jacque Vaughn        SAS      14.36      10.22      24.58     
454    Robert Horry         SAS      8.94       8.08       17.03     
455    Matt Bonner          SAS      12.16      12.95      25.11     
456    Bobby Jones          SAS      9.39       12.36      21.75     
457    DerMarr Johnson      SAS      11.41      6.06       17.48     
458    Darius Washington    SAS      14.09      4.29       18.38     
459    James White          SAS      18.97      17.14      36.11     
460    Eric Williams        SAS      11.34      4.92       16.26     
461    Jackie Butler        SAS      14.88      5.78       20.65     
462    Ian Mahinmi          SAS      3.38       0.00       3.38      
463    Keith Langford       SAS      13.00      0.00       13.00     
464    Nick Collison        SEA      0.00       10.41      10.41     
465    Earl Watson          SEA      0.00       14.56      14.56     
466    Damien Wilkins       SEA      0.00       11.95      11.95     
467    Chris Wilcox         SEA      0.00       8.10       8.10      
468    Delonte West         SEA      12.93      12.05      24.98     
469    Luke Ridnour         SEA      0.00       17.09      17.09     
470    Johan Petro          SEA      0.00       20.42      20.42     
471    Kevin Durant         SEA      0.00       19.96      19.96     
472    Francisco Elson      SEA      12.32      10.18      22.50     
473    Jeff Green           SEA      0.00       14.20      14.20     
474    Mickael Gelabale     SEA      0.00       12.60      12.60     
475    Adrian Griffin       SEA      7.97       5.01       12.98     
476    Ira Newble           SEA      16.28      14.27      30.55     
477    Mike Wilks           SEA      3.12       12.10      15.22     
478    Mouhamed Sene        SEA      0.00       13.32      13.32     
479    Danny Fortson        SEA      0.00       8.09       8.09      
480    Robert Swift         SEA      0.00       7.22       7.22      
481    Andreas Glyniadakis  SEA      0.00       3.75       3.75      
482    Desmon Farmer        SEA      0.00       15.12      15.12     
483    Randy Livingston     SEA      0.00       4.20       4.20      
484    Chris Bosh           TOR      16.04      13.14      29.18     
485    Anthony Parker       TOR      9.05       7.21       16.26     
486    Jose Calderon        TOR      14.71      13.97      28.69     
487    Carlos Delfino       TOR      10.01      8.33       18.33     
488    Andrea Bargnani      TOR      3.79       3.08       6.87      
489    Jason Kapono         TOR      16.71      14.55      31.26     
490    T.J. Ford            TOR      4.34       4.95       9.29      
491    Rasho Nesterovic     TOR      9.24       7.71       16.95     
492    Jorge Garbajosa      TOR      13.22      10.03      23.25     
493    Kris Humphries       TOR      11.24      22.18      33.42     
494    Joey Graham          TOR      16.08      10.35      26.43     
495    Jamario Moon         TOR      26.32      14.39      40.70     
496    Darrick Martin       TOR      12.88      12.42      25.31     
497    P.J. Tucker          TOR      5.00       4.80       9.80      
498    Uros Slokar          TOR      1.00       2.42       3.42      
499    Pape Sow             TOR      7.00       7.78       14.78     
500    Deron Williams       UTA      16.25      13.68      29.93     
501    Carlos Boozer        UTA      12.66      10.65      23.31     
502    Kyle Korver          UTA      15.59      11.90      27.48     
503    Mehmet Okur          UTA      14.79      10.71      25.51     
504    Matt Harpring        UTA      13.68      10.69      24.37     
505    Paul Millsap         UTA      9.00       7.21       16.21     
506    Andrei Kirilenko     UTA      4.51       3.96       8.47      
507    Ronnie Brewer        UTA      6.95       6.31       13.25     
508    Jarron Collins       UTA      16.08      14.11      30.19     
