game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200702210HOU,2007,HOU,MIA,10,10,Chuck Hayes,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Alonzo Mourning,Dwyane Wade,James Posey,Jason Williams,Udonis Haslem,3,0,1,2,1,1,0,0,0,0,2,1,1,0,2,0.3333333333333333,0.5,0.0,2,0,1,2,1,0,0,1,0,0,1,1,0,0,2,0.5,0.5,0.0,-1
200702210HOU,2007,HOU,MIA,11,12,Chuck Hayes,Dikembe Mutombo,Rafer Alston,Shane Battier,Tracy McGrady,Alonzo Mourning,Dwyane Wade,James Posey,Jason Williams,Udonis Haslem,3,0,1,1,1,2,0,1,0,1,3,2,1,2,2,0.3333333333333333,1.0,0.0,3,2,2,2,1,1,1,0,0,0,2,1,1,1,5,0.6666666666666666,0.5,1.0,-1
200702210HOU,2007,HOU,MIA,13,15,Bonzi Wells,Chuck Hayes,Dikembe Mutombo,Luther Head,Tracy McGrady,Alonzo Mourning,Antoine Walker,Dwyane Wade,James Posey,Jason Williams,4,3,3,4,3,0,0,2,0,0,3,3,0,1,6,0.75,0.75,0.0,5,0,1,2,0,3,1,1,1,0,3,1,2,1,3,0.2,0.0,0.3333333333333333,1
200702210HOU,2007,HOU,MIA,16,17,Bonzi Wells,Chuck Hayes,Dikembe Mutombo,Luther Head,Tracy McGrady,Antoine Walker,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,4,0,1,2,0,2,1,0,0,1,3,3,0,1,3,0.25,0.0,0.5,5,2,1,2,1,3,0,0,1,0,4,3,1,0,2,0.2,0.5,0.0,1
200702210HOU,2007,HOU,MIA,18,18,Bonzi Wells,Dikembe Mutombo,Juwan Howard,Luther Head,Tracy McGrady,Antoine Walker,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,2,2,2,2,2,0,0,2,0,0,1,1,0,0,4,1.0,1.0,0.0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1
200702210HOU,2007,HOU,MIA,19,19,Bonzi Wells,Dikembe Mutombo,Juwan Howard,Luther Head,Tracy McGrady,Antoine Walker,Dwyane Wade,Eddie Jones,James Posey,Shaquille O'Neal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,-1
200702210HOU,2007,HOU,MIA,20,20,Bonzi Wells,Dikembe Mutombo,Juwan Howard,Luther Head,Tracy McGrady,Alonzo Mourning,Antoine Walker,Dwyane Wade,Eddie Jones,Jason Kapono,4,1,1,3,1,1,0,0,0,0,2,0,2,1,2,0.25,0.3333333333333333,0.0,0,4,0,0,0,0,0,0,0,0,3,2,1,1,0,0.0,0.0,0.0,1
200702210HOU,2007,HOU,MIA,21,23,Bonzi Wells,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Alonzo Mourning,Dwyane Wade,Eddie Jones,Jason Kapono,Udonis Haslem,6,0,4,3,2,3,2,4,0,0,2,1,1,2,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,4,3,4,3,0,0,2,0,1,2,1,1,1,6,0.75,0.75,0.0,1
200702210HOU,2007,HOU,MIA,24,24,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Alonzo Mourning,Dwyane Wade,Eddie Jones,Jason Kapono,Udonis Haslem,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1.0,0.0,1.0,2,0,1,1,1,1,0,1,0,0,1,0,1,0,2,0.5,1.0,0.0,1
200702210HOU,2007,HOU,MIA,25,33,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Dwyane Wade,Gary Payton,Jason Kapono,Shaquille O'Neal,Udonis Haslem,14,2,6,10,4,4,2,4,0,2,5,4,1,4,14,0.42857142857142855,0.4,0.5,16,2,8,11,7,5,1,3,0,1,12,7,5,5,17,0.5,0.6363636363636364,0.2,-1
200702210HOU,2007,HOU,MIA,34,34,Chuck Hayes,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Alonzo Mourning,Dwyane Wade,Eddie Jones,James Posey,Jason Kapono,1,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,3,3,1,3,1,0,0,0,0,0,5,2,3,0,2,0.3333333333333333,0.3333333333333333,0.0,-1
200702210HOU,2007,HOU,MIA,35,36,Bonzi Wells,Chuck Hayes,Luther Head,Rafer Alston,Tracy McGrady,Alonzo Mourning,Dwyane Wade,Eddie Jones,James Posey,Jason Kapono,2,2,2,0,0,2,2,1,0,0,3,2,1,1,6,1.0,0.0,1.0,4,0,2,2,1,2,1,1,0,0,0,0,0,0,5,0.5,0.5,0.5,1
200702210HOU,2007,HOU,MIA,37,37,Bonzi Wells,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Alonzo Mourning,Dwyane Wade,Eddie Jones,James Posey,Jason Kapono,2,1,1,1,1,1,0,0,0,0,1,0,1,1,2,0.5,1.0,0.0,1,2,1,1,1,0,0,1,0,0,2,1,1,0,2,1.0,1.0,0.0,-1
