Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
305    Darko Milicic        ORL      8.53       7.09       15.62     
306    Jameer Nelson        ORL      18.62      12.20      30.82     
307    Hedo Turkoglu        ORL      11.87      14.62      26.49     
308    Grant Hill           ORL      10.29      12.55      22.85     
309    Keyon Dooling        ORL      7.87       9.20       17.07     
310    Carlos Arroyo        ORL      5.60       4.55       10.14     
311    Trevor Ariza         ORL      2.85       2.36       5.22      
312    Tony Battie          ORL      9.66       6.69       16.35     
313    Keith Bogans         ORL      12.07      11.48      23.55     
314    J.J. Redick          ORL      10.99      17.50      28.49     
315    Bo Outlaw            ORL      3.10       2.40       5.49      
316    Pat Garrity          ORL      10.76      4.16       14.92     
317    Travis Diener        ORL      5.83       1.36       7.19      
318    James Augustine      ORL      11.00      0.00       11.00     
319    Andre Iguodala       PHI      9.64       8.91       18.54     
320    Andre Miller         PHI      9.90       10.50      20.40     
321    Kyle Korver          PHI      13.17      10.83      24.00     
322    Samuel Dalembert     PHI      13.57      11.53      25.10     
323    Willie Green         PHI      3.46       2.87       6.34      
324    Joe Smith            PHI      15.11      8.61       23.72     
325    Steven Hunter        PHI      7.02       5.25       12.27     
326    Chris Webber         PHI      14.42      13.75      28.17     
327    Rodney Carney        PHI      18.18      9.70       27.88     
328    Kevin Ollie          PHI      12.00      12.18      24.19     
329    Lou Williams         PHI      11.19      12.81      23.99     
330    Alan Henderson       PHI      2.48       3.12       5.60      
331    Bobby Jones          PHI      8.22       14.86      23.08     
332    Shavlik Randolph     PHI      10.14      9.54       19.68     
333    Lou Amundson         PHI      8.16       6.07       14.24     
334    Ivan McFarlin        PHI      1.58       12.57      14.15     
335    Steven Smith         PHI      4.14       1.17       5.31      
336    Leandro Barbosa      PHO      19.76      15.68      35.44     
337    Shawn Marion         PHO      8.26       7.52       15.77     
338    Raja Bell            PHO      12.42      10.84      23.26     
339    Amar'e Stoudemire    PHO      4.59       4.13       8.71      
340    Steve Nash           PHO      4.76       4.41       9.16      
341    Boris Diaw           PHO      8.74       7.87       16.61     
342    James Jones          PHO      9.95       11.71      21.66     
343    Kurt Thomas          PHO      17.45      12.36      29.81     
344    Marcus Banks         PHO      10.96      8.27       19.23     
345    Jalen Rose           PHO      9.60       8.27       17.87     
346    Pat Burke            PHO      9.58       13.08      22.65     
347    Jumaine Jones        PHO      19.12      8.67       27.79     
348    Eric Piatkowski      PHO      7.26       9.33       16.60     
349    Sean Marks           PHO      3.33       0.00       3.33      
350    Jarrett Jack         POR      14.05      12.21      26.27     
351    Zach Randolph        POR      3.77       3.07       6.85      
352    Juan Dixon           POR      15.35      12.28      27.63     
353    Jamaal Magloire      POR      12.38      10.01      22.39     
354    Ime Udoka            POR      12.69      8.32       21.01     
355    Martell Webster      POR      11.70      13.78      25.48     
356    Brandon Roy          POR      3.78       3.25       7.03      
357    Travis Outlaw        POR      5.71       4.64       10.35     
358    Fred Jones           POR      11.19      10.44      21.63     
359    LaMarcus Aldridge    POR      13.72      15.24      28.95     
360    Sergio Rodriguez     POR      8.56       9.61       18.17     
361    Dan Dickau           POR      6.25       4.43       10.68     
362    Joel Przybilla       POR      13.05      11.22      24.28     
363    Raef LaFrentz        POR      11.69      8.71       20.40     
364    Stephen Graham       POR      6.34       7.64       13.98     
365    Luke Schenscher      POR      10.05      8.48       18.53     
366    Kevin Martin         SAC      15.40      13.39      28.79     
367    Mike Bibby           SAC      8.44       8.02       16.46     
368    John Salmons         SAC      9.60       6.90       16.50     
369    Metta World Peace    SAC      9.65       7.24       16.89     
370    Shareef Abdur-Rahim  SAC      2.55       1.82       4.36      
371    Francisco Garcia     SAC      7.35       5.61       12.97     
372    Brad Miller          SAC      3.23       2.75       5.98      
373    Corliss Williamson   SAC      4.62       3.42       8.04      
374    Kenny Thomas         SAC      11.49      9.21       20.69     
375    Jason Hart           SAC      13.39      13.71      27.10     
376    Ronnie Price         SAC      4.68       3.25       7.93      
377    Justin Williams      SAC      11.55      10.08      21.63     
378    Quincy Douby         SAC      6.96       6.10       13.06     
379    Maurice Taylor       SAC      8.11       10.75      18.86     
380    Vitaly Potapenko     SAC      6.00       3.33       9.33      
381    Tim Duncan           SAS      6.75       5.82       12.57     
382    Tony Parker          SAS      3.73       3.13       6.86      
383    Bruce Bowen          SAS      9.69       8.96       18.65     
384    Manu Ginobili        SAS      15.28      12.65      27.93     
385    Michael Finley       SAS      12.21      10.37      22.58     
386    Brent Barry          SAS      6.14       5.46       11.60     
387    Fabricio Oberto      SAS      12.83      11.32      24.15     
388    Francisco Elson      SAS      14.42      10.01      24.42     
389    Robert Horry         SAS      8.95       7.98       16.92     
390    Beno Udrih           SAS      2.99       2.49       5.48      
391    Jacque Vaughn        SAS      13.55      9.86       23.41     
392    Matt Bonner          SAS      11.19      10.55      21.74     
393    James White          SAS      18.97      17.14      36.11     
394    Eric Williams        SAS      11.34      4.92       16.26     
395    Jackie Butler        SAS      14.88      5.78       20.65     
396    Chris Wilcox         SEA      0.00       8.37       8.37      
397    Earl Watson          SEA      0.00       13.37      13.37     
398    Nick Collison        SEA      0.00       9.72       9.72      
399    Rashard Lewis        SEA      0.00       7.13       7.13      
400    Damien Wilkins       SEA      0.00       11.94      11.94     
401    Ray Allen            SEA      0.00       3.62       3.62      
402    Luke Ridnour         SEA      0.00       19.05      19.05     
403    Johan Petro          SEA      0.00       11.30      11.30     
404    Mickael Gelabale     SEA      0.00       13.07      13.07     
405    Mike Wilks           SEA      0.00       11.58      11.58     
406    Andre Brown          SEA      0.00       2.57       2.57      
407    Danny Fortson        SEA      0.00       8.09       8.09      
408    Mouhamed Sene        SEA      0.00       13.87      13.87     
409    Andreas Glyniadakis  SEA      0.00       3.75       3.75      
410    Desmon Farmer        SEA      0.00       15.12      15.12     
411    Randy Livingston     SEA      0.00       4.20       4.20      
412    Chris Bosh           TOR      11.57      9.59       21.17     
413    Anthony Parker       TOR      8.20       6.76       14.96     
414    T.J. Ford            TOR      4.21       5.17       9.37      
415    Andrea Bargnani      TOR      3.23       2.51       5.73      
416    Jose Calderon        TOR      12.68      12.38      25.06     
417    Jorge Garbajosa      TOR      13.07      10.12      23.20     
418    Morris Peterson      TOR      11.05      8.50       19.55     
419    Joey Graham          TOR      14.71      10.47      25.18     
420    Rasho Nesterovic     TOR      9.79       7.19       16.98     
421    Kris Humphries       TOR      11.59      22.38      33.97     
422    Darrick Martin       TOR      13.47      9.04       22.51     
423    P.J. Tucker          TOR      5.00       4.80       9.80      
424    Uros Slokar          TOR      1.00       2.42       3.42      
425    Pape Sow             TOR      7.00       7.78       14.78     
426    Deron Williams       UTA      15.73      12.44      28.17     
427    Mehmet Okur          UTA      11.06      8.18       19.24     
428    Carlos Boozer        UTA      14.14      12.94      27.08     
429    Matt Harpring        UTA      11.42      9.23       20.65     
430    Derek Fisher         UTA      14.95      11.05      26.00     
431    Paul Millsap         UTA      9.65       6.71       16.36     
432    Andrei Kirilenko     UTA      4.35       3.88       8.23      
433    Gordan Giricek       UTA      13.92      9.16       23.08     
434    Jarron Collins       UTA      12.17      9.94       22.11     
435    Ronnie Brewer        UTA      3.28       2.72       6.01      
436    Dee Brown            UTA      10.83      5.98       16.81     
437    C.J. Miles           UTA      10.09      9.08       19.17     
438    Rafael Araujo        UTA      8.28       4.38       12.66     
439    Roger Powell         UTA      5.42       0.00       5.42      
440    Gilbert Arenas       WAS      14.33      10.20      24.52     
441    Antawn Jamison       WAS      9.07       6.09       15.16     
442    Caron Butler         WAS      16.28      12.71      28.99     
443    DeShawn Stevenson    WAS      20.34      12.59      32.94     
444    Antonio Daniels      WAS      10.04      6.73       16.77     
445    Jarvis Hayes         WAS      8.97       7.54       16.51     
446    Brendan Haywood      WAS      16.66      13.47      30.13     
447    Etan Thomas          WAS      14.93      9.19       24.11     
448    Darius Songaila      WAS      11.20      8.23       19.43     
449    Andray Blatche       WAS      3.52       2.74       6.26      
450    Roger Mason          WAS      2.61       2.33       4.94      
451    Calvin Booth         WAS      7.14       6.86       14.01     
452    Donell Taylor        WAS      9.71       9.37       19.07     
453    Michael Ruffin       WAS      4.87       3.91       8.78      
454    James Lang           WAS      4.00       6.88       10.88     
455    Mike Hall            WAS      5.00       0.00       5.00      
456    Renaldo Major        N/A      0.00       3.00       3.00      
457    Chris McCray         N/A      0.00       4.00       4.00      
